SL,Name of Geospatial attributes,Description of the Field,Data Source,Web Source,Method of Geoprocessing,Unit,Risk component,Group of the factors ,Remarks,Assumption
1,OID,ArcGIS Object ID,ArcGIS generated,N/A,Imported from census ,,TBD,,,
2,FIPS,"County FIPS Codes are unique 5-digit codes that represent specific US counties. The first two digits represent the county's state and the last three digits represent the county. For example ""49017"" is the FIPS Code for Garfield County, Utah. ""49"" represents Utah and ""017"" represents Garfield County.",UC Census,https://www.census.gov/,Imported from census ,,TBD,,,
3,cName,County name,UC Census,https://www.census.gov/,Imported from census ,,TBD,,,
4,Est_Tot,Total number of Establishments: number of establishments (businesses),NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,Number of facilities,TBD,Economic,,
5,Emp_Tot, Employment: number of individuals employed at establishments,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,Number of employees,TBD,Economic,,
6,rWage_Tot,Total wages in 2010 dollars (Inflation adjusted),NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,USD,TBD,Economic,,
7,rGDP_Tot,Gross Domestic Product in chained 2005 dollars  (Inflation adjusted),NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,USD,TBD,Economic,,
8,Est_C,Number of establishements associated with construction,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
9,Emp_C,Number of establishements associated with construction,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
10,rWage_C,Wages in construction sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
11,rGDP_C,Inflation adjusted GDP for the year 2005 USD ,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
12,Est_EH,Number of establishemnents in Education and Health Sectors,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
13,Emp_EH,Total number of people employed in Education and Health Sectors,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
14,rWage_EH,Inflation adjusted Wages for the sector Education and Health,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
15,rGDP_EH,Inflation adjusted GDP for the year 2010 USD ,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
16,Est_FA,"Number of establishments for Financial, activities, Information",NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
17,Emp_FA,"Total number of employed personnals in Financial activities, Information, ",NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
18,rWage_FA,"Inflation adjusted Wages- Financial activities, Information",NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
19,rGDP_FA,Total GDP earned in Financial activities and Information,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
20,Est_I,Total number of Establishments in Information sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
21,Emp_I,Total employed in Information sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
22,rWage_I,Inflation adjusted Wages for the Information sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
23,rGDP_I,Inflation adjusted GDP from the Information sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
24,Est_LH,Total number of establishments in Leisure and Hospitality,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
25,Emp_LH,Total employed in Leisure and Hospitality sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
26,rWage_LH,Inflation adjusted Wages in Leisure and Hospitality sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
27,rGDP_LH,Inflation adjusted GDP from the Leisure and Hospitality sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
28,Est_M,Total number of establishments in  Manufacturing sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
29,Emp_M,Total employed in  Manufacturing sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
30,rWage_M,Inflation adjusted Wages in Manufacturing sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
31,rGDP_M,Inflation adjusted GDP from Manufacturing sector,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
32,Est_NRM,Total number of establishments in  Natural resources and Mining,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
33,Emp_NRM,Total employed in Natural resources and Minin,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
34,rWage_NRM,Inflation adjusted Wages in Natural resources and Mining,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
35,rGDP_NRM,Inflation adjusted GDP from the Natural resources and Mining,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
36,Est_OS,Total number of establishments in Other services,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
37,Emp_OS,Total employed in Other services,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
38,rWage_OS,Inflation adjusted Wages in Other services,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
39,rGDP_OS,Inflation adjusted GDP from the  Other services,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
40,Est_PB,Total number of establishments in  Natural resources and Mining,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
41,Emp_PB,Total employed in Professional and Business Services,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
42,rWage_PB,Inflation adjusted Wages in Professional and Business Services,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
43,rGDP_PB,Inflation adjusted GDP from the Professional and Business Services,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
44,Est_PA,Total number of establishments in Public Administration,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
45,Emp_PA,Total employed in Public Administration,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
46,rWage_PA,Inflation adjusted Wages in Public Administration,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
47,rGDP_PA,Inflation adjusted GDP from the Public Administration,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
48,Est_TTU,Total number of establishments in Trade transportation and Utility,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
49,Emp_TTU,Total employed in Trade transportation and Utility,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
50,rWage_TTU,Inflation adjusted Wages in Trade transportation and Utility,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
